1690144380.5010929 asterix_body OCCL OCCL OCCL OCCL OCCL OCCL OCCL asterix_bogie OCCL OCCL OCCL OCCL OCCL OCCL OCCL
1690144381.0683079 asterix_body -39.509360341187332 289.75632677748325 5055.7087855440259 -0.80686430433857592 0.13315244611259838 -0.045035063256734786 0.57377021842887532 asterix_bogie -211.6150569375385 315.91821159063147 5429.3058458255782 -0.55474589735006996 -0.47801177403915229 0.046940381306597757 0.67938084595902426
1690144381.0882065 asterix_body -39.498343005251549 289.76472734870197 5055.6669149090576 -0.80688042397773052 0.13317428951667148 -0.044992592006666117 0.57374581190433938 asterix_bogie -211.59388394694571 315.88406764317028 5429.2779521409639 -0.5546327628216825 -0.47809798614840948 0.046961322071566405 0.6794111040267985
1690144381.109103 asterix_body -39.491523348373107 289.76033561172784 5055.6715413520833 -0.80687460641576558 0.13319271332500282 -0.045083254190027351 0.57374259980427156 asterix_bogie -211.58831461251572 315.89639761904004 5429.2878857049027 -0.55487067462130812 -0.47811912066690537 0.047020369753347224 0.6791978546243046
1690144381.1295738 asterix_body -39.490325908325886 289.746002753563 5055.6276500110862 -0.80683043018525258 0.13319928352171989 -0.045122107639485341 0.57380014220854947 asterix_bogie -211.59270537091101 315.88316778335013 5429.2732213378658 -0.5546602713895622 -0.47810630047708691 0.046981340461111826 0.67938141160518062
1690144381.1496034 asterix_body -39.514836666164442 289.72016171716086 5055.6765462953772 -0.80684658691776945 0.13316031191140879 -0.044965202729347911 0.57379878620846814 asterix_bogie -211.59740567682493 315.90748193759805 5429.2779327231483 -0.55467654276297751 -0.47810695962408906 0.046988852194607564 0.6793671436248252
1690144381.1708286 asterix_body -39.510998328296068 289.77375037974377 5055.7426346747643 -0.80682866005101694 0.13318140285296873 -0.044981251345702342 0.57381784067922681 asterix_bogie -211.58346060271001 315.87982271174212 5429.2519999672486 -0.55450721792012292 -0.47812124385270582 0.046907359308174988 0.67950093531500044
1690144381.1914189 asterix_body -39.520237167747894 289.75812137699683 5055.7215616045969 -0.80683902712295386 0.13321383669753109 -0.045111991192478808 0.57378547060226159 asterix_bogie -211.58761318206444 315.8762034421481 5429.2776428998113 -0.55456950958182927 -0.47809707069951346 0.046938872781532588 0.67946493084832038
1690144381.2107711 asterix_body -39.500302450500627 289.77471770537119 5055.7109357037934 -0.80685330022296475 0.13311254841851136 -0.045000422388051201 0.57379766761266726 asterix_bogie -211.59691265378763 315.90185061087402 5429.3025113547892 -0.55498245483047659 -0.47815872083177058 0.047070497331728786 0.67907516579816596
1690144381.2310631 asterix_body -39.517369928133547 289.78289972130517 5055.7105688725705 -0.80686916035969003 0.13317801348051944 -0.045032172808856477 0.57375768247400805 asterix_bogie -211.59728386868341 315.9006744950031 5429.2819887706673 -0.55470735528223858 -0.47806615635668692 0.046983336948918382 0.67937108136222024
1690144381.252193 asterix_body -39.511133095436776 289.76072605616457 5055.675461870861 -0.80685836903127917 0.13316846735699248 -0.045018761857686933 0.57377612594702365 asterix_bogie -211.61015360830908 315.90679714822772 5429.2755941965852 -0.55439792221941253 -0.47807098510439217 0.046870790141568849 0.67962799094182347
1690144381.2718222 asterix_body -39.507566228761448 289.78544233088894 5055.6984647817853 -0.80686872769803819 0.13318877732181261 -0.045070395097520484 0.5737527911428606 asterix_bogie -211.58149634421574 315.8943047877882 5429.2665692173841 -0.55449801159888179 -0.47812229079700258 0.046929035806396617 0.67950621466929573
1690144381.292582 asterix_body -39.495237883795596 289.76540331598659 5055.6477695835856 -0.80682996407881191 0.13311810414386827 -0.045029618250894694 0.57382690150767957 asterix_bogie -211.57184968849728 315.8748655300829 5429.2474584627753 -0.55433724672650653 -0.47816006941678324 0.046953305492363956 0.67960911707418559
1690144381.3124194 asterix_body -39.498843349314889 289.77479298867621 5055.6794822759766 -0.8068722542424025 0.13319934828672841 -0.045135663809293007 0.57374024680361158 asterix_bogie -211.59661301088863 315.90114643850143 5429.2849715659677 -0.55478243677880701 -0.47814174039261864 0.047032616778281314 0.67925316112262157
1690144381.3324993 asterix_body -39.509357993059879 289.76032426729074 5055.6335231974972 -0.80684938478667478 0.13320601919206315 -0.045080828305038158 0.57377516994002087 asterix_bogie -211.60929516642221 315.92441017500727 5429.2655648907594 -0.55436094720038165 -0.47821729912946909 0.046943625298321308 0.67955018289767422
1690144381.3538451 asterix_body -39.492821007494086 289.74984946922228 5055.6502414973065 -0.80684239057661766 0.13317475290563699 -0.04500727945534317 0.5737980365539429 asterix_bogie -211.60513561278799 315.91663288596794 5429.2780665300224 -0.55447933791216597 -0.47814987462524561 0.046960888873695449 0.67949984263466945
1690144381.3734741 asterix_body -39.496600225152804 289.75651118921542 5055.6061766840048 -0.80684973618402156 0.13318670818549258 -0.045057628828242637 0.57378098092117324 asterix_bogie -211.60426947719799 315.92792874857014 5429.2939850896882 -0.55461217998693624 -0.47814427337496945 0.047035743250541502 0.67939018428715181
